ax_mean,ax_var,ay_mean,ay_var,az_mean,az_var,gx_mean,gx_var,gy_mean,gy_var,gz_mean,gz_var,mag_mean,mag_var,label
-0.004409969,-0.000155872,0.009113343,0.001586688,0.008129871,-0.008745227,0.000461379,0.000299085,0.00042585,0.012510132413732349,0.00997084,0.008689282,0.028812892819109006,0.000458656,HANDSTILL
-0.004736217,-0.000268069,0.008144904,0.012084811541717503,0.00414652,0.008002504,0.000437507,0.000296557,0.000447241,0.008166276,0.007763595,0.008890492,0.029297324949503163,0.000411815,HANDSTILL
-0.00565554,-0.001423362,0.007593096,0.011791606191545718,0.008119362,0.010046495640417541,2.654293711073205e-05,2.1632947570453752e-05,0.000140397,0.00186744,0.001048064,0.000870434,0.014906694999200373,5.802990214694567e-05,HANDSTILL
-0.005531126,-0.000703482,0.008341072,-0.000146996,0.003356398,0.001391385,3.116950180841731e-06,2.6583954921088827e-06,1.9140574643877838e-05,0.000197114,7.923484437265314e-05,3.689791908061945e-05,0.010586894794611428,1.3495306917116764e-05,HANDSTILL
-0.005002603,-0.000267195,0.007887429,-0.001543249,0.000139359,-0.000710277,3.2998451262420216e-06,2.734063338364343e-06,1.6047325400384224e-05,0.000126725,5.018020925907239e-05,1.7596169778400146e-05,0.009945859,1.0470085871367093e-05,HANDSTILL
-0.004622547,-0.000238554,0.007330318,-0.000773744,-4.57E-07,-0.000568879,4.174714746728452e-06,2.764008154875219e-06,2.6415747280560125e-05,0.000175569,4.6569999989449225e-05,1.2268916416136202e-05,0.009810707,1.2262925491981299e-05,HANDSTILL
-0.004299537,-0.000169885,0.006962496,3.385987249202578e-05,0.000478943,-0.00028288,4.566739200816963e-06,3.0993339714056977e-06,2.7642593758921036e-05,0.000150928,3.5569863480522847e-05,1.345745058645033e-05,0.00941892,1.3583843539925641e-05,HANDSTILL
-0.003846084,0.000202099,0.006427082,0.000524419,0.000673527,-0.000390759,3.6255454832203355e-06,2.7782586666246922e-06,1.2791650621457024e-05,7.489817712270868e-05,2.9790115182371112e-05,1.5233908572646048e-05,0.008157505,8.791150709011578e-06,HANDSTILL
-0.003377757,0.000503313,0.005743435,4.6051924582569045e-05,0.000401804,-0.000194337,2.578676801867343e-06,2.0914075564841635e-06,1.1574968788119416e-05,9.236927110753635e-05,2.7474757987305766e-05,1.2721918801927565e-05,0.007292961,7.707376224162858e-06,HANDSTILL
-0.00314072,0.000712565,0.005304203,0.000912157,0.000380805,0.000268799,2.488931459179098e-06,1.8128158719590153e-06,1.3119107687317814e-05,9.646652519030762e-05,2.6983028939067765e-05,1.0175344002235995e-05,0.006862928,8.82751516619932e-06,HANDSTILL
